,gtfs_agency_name,gtfs_stop_id,gtfs_stop_lat,gtfs_stop_lon,gtfs_route_id,gtfs_ZDEr_ID_REF_A,gtfs_dest_name,gtfs_stop_name,osm_stop_id,osm_lon,osm_lat,osm_osm:ref:FR:STIF:ExternalCode_Line,osm_osm:ref:FR:STIF,osm_destination,osm_name,distance
1779,Pep's,StopPoint:9:1272,48.87765,2.727707,051051023:23,15543,GARE DE LAGNY THORIGNY,COTEAUX RD934,StopPoint:Node:4328379451,2.7265343,48.8776442,051051023:23,15543,Gare de Lagny,Coteaux RD934,86.020967298461
1891,Pep's,StopPoint:9:1672,48.874,2.69081,051051025:25,41657,GARE DE LAGNY THORIGNY,BRANLY,StopPoint:Node:5212586440,2.6882945,48.8732342,051051025:25,41657,Gare de Lagny,Branly,203.23280647988395
2096,Pep's,StopPoint:9:926,48.848975,2.657207,051051029:29,15418,GARE DE LAGNY THORIGNY,RUE DES EPINETTES,StopPoint:Node:482735215,2.6562639,48.8482178,051051029:29,15418,Gare de Lagny,Rue des Epinettes,109.00294481656114
2110,Pep's,StopPoint:9:1457,48.849881,2.768708,051051032:32,22486,GARE DE VAL D'EUROPE,CENTRE HOSPITALIER,StopPoint:Node:5225418004,2.7702842999999997,48.851091399999994,051051032:32,22486,Gare de Val d'Europe,Centre Hospitalier,177.48686006911942
2129,Pep's,StopPoint:9:1270,48.84722,2.824737,051051034:34,15541,GARE DE VAL D'EUROPE,PLACE DE LA MAIRIE,StopPoint:Node:2995793846,2.8231995999999997,48.846728899999995,051051034:34,15541,Val d'Europe,Place de la Mairie,125.36022476179038
2169,Pep's,StopPoint:9:1496,48.876983,2.805491,051051034:34,426628,GARE DE VAL D'EUROPE,HOTEL DU VAL DE FRANCE,StopPoint:Node:3738175373,2.8034101,48.8736797,051051034:34,426628,Val d'Europe,Hôtels du Val de France,397.802340442257
2200,Pep's,StopPoint:9:1270,48.84722,2.824737,051051035:35,15541,GARE DE MARNE LA VALLEE CHESSY,PLACE DE LA MAIRIE,StopPoint:Node:2995793846,2.8231995999999997,48.846728899999995,051051035:35,15541,Gare de Marne-La-Vallée Chessy,Place de la Mairie,125.36022476179038
2205,Pep's,StopPoint:9:1353,48.870829,2.795681,051051035:35,15586,GARE DE MARNE LA VALLEE CHESSY,SANTA FE,StopPoint:Node:1709739981,2.7950402,48.8719608,051051035:35,15586,Gare de Marne-La-Vallée Chessy,Santa Fe,134.35658319111894
2370,Pep's,StopPoint:9:1353,48.870829,2.795681,051267024:24,15586,GARE DE MARNE LA VALLEE CHESSY,SANTA FE,StopPoint:Node:1709739981,2.7950402,48.8719608,051267024:24,15586,Gare de Marne la Vallée Chessy,Santa Fe,134.35658319111894
2371,Pep's,StopPoint:9:1353,48.870829,2.795681,051267024:24,15586,GARE DE MARNE LA VALLEE CHESSY,SANTA FE,StopPoint:Node:1709739981,2.7950402,48.8719608,051267024:24,15586,Gare de Marne la Vallée Chessy,Santa Fe,134.35658319111894
2503,TRANSPORTS DANIEL MEYER,StopPoint:46:11499,48.671078,2.361239,055055003:DM03,3553,Sycomores,Lt Col. Bizeul,StopPoint:Node:497040887,2.3599742999999997,48.670808799999996,055055003:DM03,3553,Sycomores,Lt Col. Bizeul,97.84065175872433
2554,TRANSPORTS DANIEL MEYER,StopPoint:46:11496,48.677377,2.371666,055055008:DM08,3550,Porte de l'Essonne,Café des Sports,StopPoint:Node:661048896,2.372916,48.678014999999995,055055008:DM08,3550,Porte de L'Essonne - Paray-Vieille-Poste,Café des Sports,116.22147436225869
2560,TRANSPORTS DANIEL MEYER,StopPoint:46:11506,48.662287,2.361208,055055008:DM08,3560,Porte de l'Essonne,Voie de Compiègne,StopPoint:Node:661045295,2.3634082,48.6616638,055055008:DM08,3560,Porte de L'Essonne - Paray-Vieille-Poste,Voie de Compiègne,176.27368392868522
2602,TRANSPORTS DANIEL MEYER,StopPoint:46:11499,48.671078,2.361239,055055022:DM22,3553,Tuileries,Lt Col. Bizeul,StopPoint:Node:497040887,2.3599742999999997,48.670808799999996,055055022:DM22,3553,Tuileries - Grigny,Lt Col. Bizeul,97.84065175872433
2603,TRANSPORTS DANIEL MEYER,StopPoint:46:11499,48.671078,2.361239,055055022:DM22,3553,Tuileries,Lt Col. Bizeul,StopPoint:Node:497040887,2.3599742999999997,48.670808799999996,055055022:DM22,3553,Tuileries - Grigny,Lt Col. Bizeul,97.84065175872433
2629,TRANSPORTS DANIEL MEYER,StopPoint:46:8879,48.710058,2.297477,055155001:DM151,2967,Porte d'Etampes,Le Petit Chilly,StopPoint:Node:5318124781,2.2972788,48.708564499999994,055155001:DM151,2967,Arpajon - Porte d'Étampes,Le Petit Chilly,166.72266488715695
2664,Phébus,StopPoint:2:39,48.82015,2.119448,056356015:S,4094,Gare de Vaucresson,Stade Michaux,StopPoint:Node:1807245076,2.1181948,48.8209182,056356015:S,4094,Vaucresson Gare,Stade Michaux,125.56746298296484
3158,STIVO,StopPoint:40:20,49.047555,2.008825,059440036:36,9578,Pontoise Gare,Fief à Cavan,StopPoint:Node:1864378071,2.007936,49.0473031,059440036:36,9578,Pontoise Gare,Fief à Caven,70.76873632263309
3360,STIVO,StopPoint:40:20,49.047555,2.008825,059440039:39,9578,St Christ. RER,Fief à Cavan,StopPoint:Node:1864378071,2.007936,49.0473031,059440039:39,9578,St Christ. RER,Fief à Caven,70.76873632263309
3544,STIVO,StopPoint:40:219,49.049915,2.034786,059440044:44,21759,Préfecture RER,St Christ. RER,StopPoint:Node:4901138415,2.0335413,49.050041199999995,059440044:44,21759,Cergy Préfecture,Cergy Saint-Christophe,92.06185755754382
3639,STIVO,StopPoint:40:259,49.036936,2.071737,059440045:45,8903,Pontoise Gare,Chemin Dupuis,StopPoint:Node:1867242088,2.0708652,49.03642,059440045:45,8903,Pontoise Gare,Chemin Dupuis,85.7690450581078
4860,Sénart-Bus,StopPoint:29:2004,48.627387,2.556115,065487100:Tzen1,33523,CORBEIL ESSONNES GARE RER,CHATEAU DE LA BARRIERE,StopPoint:Node:1349414703,2.5546132,48.626974399999995,065487100:Tzen1,33523,Corbeil-Essonnes Gare RER,Château de la Barrière,119.83848640052116
4861,Sénart-Bus,StopPoint:29:2005,48.627296,2.556197,065487100:Tzen1,33524,LIEUSAINT  MOISSY GARE RER,CHATEAU DE LA BARRIERE,StopPoint:Node:1349414700,2.5547098,48.6268858,065487100:Tzen1,33524,Lieusaint - Moissy Gare RER,Château de la Barrière,118.74234747430492
