,gtfs_agency_name,gtfs_stop_id,gtfs_stop_lat,gtfs_stop_lon,gtfs_route_id,gtfs_ZDEr_ID_REF_A,gtfs_dest_name,gtfs_stop_name,osm_stop_id,osm_lon,osm_lat,osm_osm:ref:FR:STIF:ExternalCode_Line,osm_osm:ref:FR:STIF,osm_destination,osm_name,distance
11423,Noctilien,StopPoint:59:6251745,48.857116,2.350308,100987768:N22,423997,CHATELET,CHATELET,StopPoint:Node:2079093349,2.3479776,48.8569083,100987768:N22,423997,Châtelet,Châtelet,172.55996943161279
11427,Noctilien,StopPoint:59:3764447,48.838691,2.316741,100987769:N63,26609,MASSY-PALAISEAU RER,MONTPARNASSE 2 - GARE TGV,StopPoint:Node:983637964,2.3219176,48.8375281,100987769:N63,26609,Massy-Palaiseau,Jean Zay–Maine,401.4096340263522
11428,Noctilien,StopPoint:59:3909010,48.788963,2.288426,100987769:N63,23156,GARE MONTPARNASSE,BOULEVARD DE LA REPUBLIQUE,StopPoint:Node:5339594321,2.2880564999999997,48.788368299999995,100987769:N63,23156,Gare Montparnasse,Boulevard de la République,71.49050230482804
11454,Noctilien,StopPoint:59:5138012,48.801665,2.295408,100987769:N63,28241,GARE MONTPARNASSE,REPUBLIQUE - LIBERTE,StopPoint:Node:2899578901,2.2942014,48.8011932,100987769:N63,28241,Gare Montparnasse,République - Liberté,103.00361859394334
11665,Noctilien,StopPoint:59:3926297,48.846136,2.376886,100987780:N11,24798,CHATEAU DE VINCENNES,DAUMESNIL - DIDEROT,StopPoint:Node:1223052374,2.3780989999999997,48.846289,100987780:N11,24798,Château de Vincennes,Daumesnil - Diderot,90.64158374359499
11801,Noctilien,StopPoint:59:4016293,48.891322,2.318669,100987782:N15,24603,VILLEJUIF - LOUIS ARAGON-METRO,BROCHANT - CARDINET,StopPoint:Node:596079812,2.3179000999999997,48.891836,100987782:N15,24603,Villejuif – Louis Aragon,Brochant - Cardinet,80.2899897227882
12661,SQYBUS,StopPoint:41:6592,48.769366,1.919888,230410432:36-12,21123,La Verrière Gare,Place des Buttes,StopPoint:Node:3522349999,1.9201831999999999,48.770040099999996,230410432:36-12,21123,Gare de La Verrière,Place des Buttes,78.04101892358678
12662,SQYBUS,StopPoint:41:6592,48.769366,1.919888,230410432:36-12,21123,La Verrière Gare,Place des Buttes,StopPoint:Node:3522349999,1.9201831999999999,48.770040099999996,230410432:36-12,21123,Gare de La Verrière,Place des Buttes,78.04101892358678
12663,SQYBUS,StopPoint:41:6592,48.769366,1.919888,230410432:36-12,21123,La Verrière Gare,Place des Buttes,StopPoint:Node:3522349999,1.9201831999999999,48.770040099999996,230410432:36-12,21123,Gare de La Verrière,Place des Buttes,78.04101892358678
12664,SQYBUS,StopPoint:41:6592,48.769366,1.919888,230410432:36-12,21123,La Verrière Gare,Place des Buttes,StopPoint:Node:3522349999,1.9201831999999999,48.770040099999996,230410432:36-12,21123,Gare de La Verrière,Place des Buttes,78.04101892358678
12740,SQYBUS,StopPoint:41:5985,48.771648,1.954395,230410441:441,4362,Trou Berger,Allée de la Garonne,StopPoint:Node:3721477411,1.9533468999999999,48.7720019,230410441:441,4362,Trou Berger,Allée de la Garonne,86.51119102793666
12938,Busval d'Oise,StopPoint:87:67,49.072865,1.772086,251195011:95-11,416920,Gare Mantes-la-Jolie,la Bucaille,StopPoint:Node:5453225467,1.7713519,49.0734241,251195011:95-11,416920,Gare Mantes-la-Jolie,La Bucaille,82.11589414580467
12939,Busval d'Oise,StopPoint:87:67,49.072865,1.772086,251195011:95-11,416920,Gare Mantes-la-Jolie,la Bucaille,StopPoint:Node:5453225467,1.7713519,49.0734241,251195011:95-11,416920,Gare Mantes-la-Jolie,La Bucaille,82.11589414580467
12971,Busval d'Oise,StopPoint:87:80,49.084109,1.644418,251195011:95-11,416950,Gare Mantes-la-Jolie,Haute Isle / les Roches Blanches,StopPoint:Node:5387500866,1.6474449,49.0841652,251195011:95-11,416950,Gare Mantes-la-Jolie,Haute Isle / les Roches Blanches,221.19871107686242
12973,Busval d'Oise,StopPoint:87:82,49.078978,1.672981,251195011:95-11,416883,Gare Mantes-la-Jolie,Chantemesle,StopPoint:Node:4509397801,1.6742171,49.078609,251195011:95-11,416883,Gare Mantes-la-Jolie,Chantemesle,99.19176174357298
12974,Busval d'Oise,StopPoint:87:83,49.075729,1.681846,251195011:95-11,416879,Gare Mantes-la-Jolie,Lapin Savant,StopPoint:Node:4509383817,1.6799738,49.0764036,251195011:95-11,416879,Gare Mantes-la-Jolie,Lapin Savant,156.00701102236258
12977,Busval d'Oise,StopPoint:87:85,49.059608,1.700209,251195011:95-11,416873,Gare Mantes-la-Jolie,Route de Vétheuil,StopPoint:Node:4510738618,1.6968950999999999,49.052963399999996,251195011:95-11,416873,Gare Mantes-la-Jolie,Route de Vétheuil,777.6344094141883
12978,Busval d'Oise,StopPoint:87:85,49.059608,1.700209,251195011:95-11,416873,Gare Mantes-la-Jolie,Route de Vétheuil,StopPoint:Node:4510738618,1.6968950999999999,49.052963399999996,251195011:95-11,416873,Gare Mantes-la-Jolie,Route de Vétheuil,777.6344094141883
13009,Busval d'Oise,StopPoint:87:149,49.08791,1.989634,251195041:95-41,416958,Place d'Armes,Les Côteaux,StopPoint:Node:3194366892,1.9874759,49.0898332,251195041:95-41,416958,Magny-en-Vexin - Place d'Armes,Les Côteaux,265.6933557238461
13011,Busval d'Oise,StopPoint:87:149,49.08791,1.989634,251195041:95-41,416958,Place d'Armes,Les Côteaux,StopPoint:Node:3194366892,1.9874759,49.0898332,251195041:95-41,416958,Magny-en-Vexin - Place d'Armes,Les Côteaux,265.6933557238461
13080,Busval d'Oise,StopPoint:87:116,49.075882,1.681939,251195047:95-47,416876,Collège,Lapin Savant,StopPoint:Node:4509383818,1.6801218,49.0764223,251195047:95-47,416876,Collège,Lapin Savant,145.72930274978916
13083,Busval d'Oise,StopPoint:87:119,49.08427,1.644416,251195047:95-47,416948,Collège,Haute Isle / les Roches Blanches,StopPoint:Node:4509281055,1.64705,49.084224299999995,251195047:95-47,416948,Collège,Haute Isle / les Roches Blanches,192.47633930776053
13088,Busval d'Oise,StopPoint:87:124,49.088862,1.676192,251195047:95-47,416891,Collège,Foyer Rural,StopPoint:Node:4509274452,1.6770140999999998,49.0894987,251195047:95-47,416891,Collège,Foyer Rural,92.84110334072298
13089,Busval d'Oise,StopPoint:87:125,49.122659,1.691148,251195047:95-47,416893,Collège,Salle des Fêtes,StopPoint:Node:4509302681,1.6904868,49.123257599999995,251195047:95-47,416893,Collège,Salle des Fêtes,82.22526122400441
13093,Busval d'Oise,StopPoint:87:185,49.121707,1.692926,251195047:95-47,416983,Collège,Eglise,StopPoint:Node:4509335207,1.6949778999999998,49.121711399999995,251195047:95-47,416983,Collège,Église,149.7758300308046
13198,Seine-Saint-Denis,StopPoint:70:16127,48.90553,2.523051,293193601:601,19214,Hôpital Intercommunal,République Marx Dormoy,StopPoint:Node:5238937321,2.5239461999999997,48.9063565,293193601:601,19214,Montfermeil — Hôpital Intercommunal,République — Marx Dormoy,112.93767555482943
13199,Seine-Saint-Denis,StopPoint:70:16127,48.90553,2.523051,293193601:601,19214,Hôpital Intercommunal,République Marx Dormoy,StopPoint:Node:5238937321,2.5239461999999997,48.9063565,293193601:601,19214,Montfermeil — Hôpital Intercommunal,République — Marx Dormoy,112.93767555482943
13230,Seine-Saint-Denis,StopPoint:70:16127,48.90553,2.523051,293193605:605,19214,Gare d'Aulnay-sous-Bois,République Marx Dormoy,StopPoint:Node:5238937321,2.5239461999999997,48.9063565,293193605:605,19214,Gare d'Aulnay-sous-Bois,République — Marx Dormoy,112.93767555482943
13350,TICE,StopPoint:10:1324,48.661652,2.34217,400400420:420,3271,Grigny Centre RER,Guérinière,StopPoint:Node:5293702564,2.3407606999999997,48.6624766,400400420:420,3271,Grigny - Centre RER,La Guérinière,138.51529681555044
13374,TICE,StopPoint:10:408,48.654774,2.352793,400400420:420,3944,Grigny Centre RER,Place Marcel Sembat,StopPoint:Node:3244472582,2.3516767,48.6545564,400400420:420,3944,Grigny - Centre RER,Place Marcel Sembat,85.7306977336455
13391,Noctilien,StopPoint:8758821:800:N130,48.823182,2.542343,800:N130,411307,MARNE LA VALLEE CHESSY NOCTILIEN,VILLIERS SUR MARNE NOCTILIEN,StopPoint:Node:839697468,2.5439488999999997,48.8237848,800:N130,411307,Marne-la-Vallée - Chessy RER,Villiers-sur-Marne–Le Plessis-Trévise RER,135.6434232145645
13393,Noctilien,StopPoint:8798466:800:N130,48.824313,2.496135,800:N130,41423,MARNE LA VALLEE CHESSY NOCTILIEN,PARC DU TREMBLAY,StopPoint:Node:1227177082,2.4936532,48.8281454,800:N130,41423,Marne-la-Vallée - Chessy RER,Parc du Tremblay,463.51148054163144
13396,Noctilien,StopPoint:8798553:800:N130,48.843253,2.645706,800:N130,41428,MARNE LA VALLEE CHESSY NOCTILIEN,COLLEGE JEAN MONNET,StopPoint:Node:4262164607,2.647812,48.842506,800:N130,41428,Marne-la-Vallée - Chessy RER,Collège Jean Monnet,175.49088111292704
13400,Noctilien,StopPoint:8798650:800:N130,48.840698,2.378611,800:N130,41430,MARNE LA VALLEE CHESSY NOCTILIEN,MINISTERE DES FINANCES POPB,StopPoint:Node:2042462007,2.382199,48.837707599999995,800:N130,41430,Marne-la-Vallée - Chessy RER,Gare de Bercy - POPB,424.2197676794585
13402,Noctilien,StopPoint:8798690:800:N130,48.832776,2.389973,800:N130,41439,MARNE LA VALLEE CHESSY NOCTILIEN,TERROIRS DE FRANCE CINECITE,StopPoint:Node:2012565981,2.3879883,48.8318644,800:N130,41439,Marne-la-Vallée - Chessy RER,Terroirs de France,177.50700056274502
13406,Noctilien,StopPoint:8798692:800:N130,48.827291,2.530421,800:N130,413033,MARNE LA VALLEE CHESSY NOCTILIEN,BEAUSEJOUR,StopPoint:Node:839697523,2.5349349,48.8270317,800:N130,413033,Marne-la-Vallée - Chessy RER,Beauséjour,332.68354766829185
13408,Noctilien,StopPoint:8798693:800:N130,48.82947,2.539278,800:N130,41442,MARNE LA VALLEE CHESSY NOCTILIEN,FRIEDBERG,StopPoint:Node:1018521012,2.5397917,48.8301564,800:N130,41442,Marne-la-Vallée - Chessy RER,Friedberg,85.14167572712152
13440,Noctilien,StopPoint:8741455:800:N145,48.763267,1.94755,800:N145,41270,GARE DE L'EST NOCTILIEN,LES PYRAMIDES,StopPoint:Node:1537096682,1.9485047,48.764209099999995,800:N145,41270,Gare de l’Est,Les Pyramides,126.10392118999819
13456,Noctilien,StopPoint:8759187:800:N145,48.755597,1.943856,800:N145,411273,GARE DE L'EST NOCTILIEN,LA VERRIERE NOCTILIEN,StopPoint:Node:2692630851,1.942861,48.7555118,800:N145,411273,Gare de l’Est,Gare de La Verrière,73.77250574735595
