line_id,code,name,network,operator,colour,mode,ref:FR:STIF,stop_completude
r5998406,DM22,Bus DM22 : Gare de Savigny-sur-Orge ↔ Tuileries (Grigny) ou Les Sablons,Évry Centre Essonne,Keolis TISSE,#FE360E,bus,C00685,100 % (32/32)
r6001282,DM8,Bus DM8 : Libération - Morsang-sur-Orge ↔ Porte de L'Essonne - Paray-Vieille-Poste,Cœur d'Essonne,Transdev Cœur Essonne,#F89C1C,bus,C00670,98 % (61/62)
r6006672,356,Bus 356 : Marché des Mortefontaines (Deuil-la-Barre) ↔ Cité Floréal (Saint-Denis),RATP,RATP,#ff5a00,bus,C01303,100 % (38/38)
r6010903,DM5,Bus DM5 : ZI Croix Blanche ↔ RER Gare Condorcet,Cœur d'Essonne,Transdev Cœur Essonne,#006DB7,bus,C00666,92 % (36/39)
r6010927,169,Bus 169 : Pont de Sèvres ↔ Hôpital Georges Pompidou,RATP,RATP,#82DC73,bus,C01190,98 % (77/78)
r6010966,167,Bus 167 : Pont de Levallois ↔ Colombes - Piscine–Patinoire,RATP,RATP,#79bb92,bus,C01189,82 % (41/50)
r6040778,193,Bus 193 : Mairie de l'Haÿ-les-Roses ↔ Arcueil-Lénine,RATP,RATP,#996633,bus,C02288,96 % (28/29)
r6048347,380,Bus 380 : Arcueil - Vache Noire - Centre Commercial ↔ Villejuif - Louis Aragon,RATP,RATP,#75CE89,bus,C01809,96 % (25/26)
r6049045,182,Bus 182 : Mairie d'Ivry ↔ Villeneuve–Triage RER,RATP,RATP,#BA4C9B,bus,C01203,98 % (56/57)
r6101989,2224,Bus 2224 : Gare de Lagny - Thorigny ⥋ Gare de Val d'Europe,Marne-la-Vallée,Transdev Marne-la-Vallée,#F3A4BA,bus,C01879,81 % (40/49)
r6116962,2290,Bus 2290 : Gare de Torcy ⥋ Gare d'Ozoir-la-Ferrière,Marne-la-Vallée,Transdev Marne-la-Vallée,#F28E42,bus,C00621,71 % (30/42)
r6116990,2291,Bus 2291 : Gare de Lagny - Thorigny (Rue R. Poincaré) ⥋ Claye-Souilly Mairie ou Centre commercial,Marne-la-Vallée,Transdev Marne-la-Vallée,#8D5E2A,bus,C00623,62 % (31/50)
r6117019,2221,Bus 2221 : Gare de Lagny - Thorigny ⥋ Gare de Torcy,Marne-la-Vallée,Transdev Marne-la-Vallée,#D5C900,bus,C00625,77 % (56/72)
r6120285,2222,Bus 2222 : Gare de Bussy-Saint-Georges ⥋ Gare de Val d'Europe,Marne-la-Vallée,Transdev Marne-la-Vallée,#00A88F,bus,C00626,82 % (28/34)
r6138428,2225,Bus 2225 : Gare de Lagny - Thorigny ⥋ Gare de Torcy,Marne-la-Vallée,Transdev Marne-la-Vallée,#E3051C,bus,C00628,100 % (31/31)
r6144402,2226,Bus 2226 : Gare de Lagny - Gare de Bussy,Marne-la-Vallée,Transdev Marne-la-Vallée,#006FB6,bus,C00629,78 % (44/56)
r6145087,2229,Bus 2229 : Gare de Lagny - Thorigny ⥋ Gare de Torcy,Marne-la-Vallée,Transdev Marne-la-Vallée,#00814F,bus,C00630,89 % (51/57)
r6147733,2228,Bus 2228 : Val d'Europe - Torcy,Marne-la-Vallée,Transdev Marne-la-Vallée,#B94E9A,bus,C01713,73 % (33/45)
r6147928,2220,Bus 2220 : Gare de Lagny - Thorigny ⥋ Gare de Val d'Europe,Marne-la-Vallée,Transdev Marne-la-Vallée,#FFCE00,bus,C00634,91 % (71/78)
r6156507,100,Bus Express 100 : Torcy RER ↔ Créteil - L'Échat,Mobilien,Transdev Lys,#0db0af,bus,C00263,63 % (7/11)
r6158847,1,Bus 1 : Le Blanc Mesnil ↔ Villeparisis Mitry le Neuf,Terres d'Envol,Transdev Nord Seine-Saint-Denis,#60BB47,bus,C00189,90 % (65/72)
r6161018,43,Bus 43 : Gare de Sevran Livry ↔ Aéroport CDG1 RER B,Terres d'Envol,Transdev Nord Seine-Saint-Denis,#980D7D,bus,C00214,41 % (29/70)
r6163294,15,Bus 15 : Gare RER d'Aulnay-sous-Bois ↔ Jaurès (Tremblay-en-France),Terres d'Envol,Transdev Nord Seine-Saint-Denis,#0054A0,bus,C00197,46 % (21/45)
r6163356,2119,Bus 2119 : Marché (Villeparisis) ↔ Clos Marchais (Le Pin),Roissy Est,Keolis Roissy Pays de France Est,#78C696,bus,C00201,84 % (32/38)
r6290750,475,Bus 475 : Porte d'Orléans ↔ Elancourt-Prague,Île-de-France Ouest,Francilité Express Ouest,#1AC7FF,bus,C01543,94 % (35/37)
r6355936,321,Bus 321 : Lognes RER ↔ Aérodrome de Lognes ou Torcy RER,RATP,RATP,#FFCD02,bus,C01285,96 % (28/29)
r6434505,N53,Noctilien N53 : Gare Saint-Lazare ↔ Nanterre – Anatole France,Noctilien,RATP,#77C695,bus,C01409,96 % (82/85)
r6520401,10,Bus 10 : Victor Hugo (Brie-Comte-Robert) ↔ Gare de Noisiel,Pays Briard,Keolis Portes et Val de Brie,,bus,C02124,46 % (23/50)
r6552159,259,Bus 259 : Nanterre - Papeteries ↔ Saint-Germain-en-Laye RER,RATP,RATP,#4397D2,bus,C02000,84 % (63/75)
r6594969,421,Bus 421 : Vaires-Torcy ↔ Emerainville - Pontault-Combault,RATP,RATP,#008b5a,bus,C01323,93 % (101/108)
r6608978,249,Bus 249 : Place Valérie André ↔ Porte des Lilas,RATP,RATP,#CCD80E,bus,C01241,96 % (76/79)
r6645022,394,Bus 394 : Issy–Val de Seine RER ↔ Bourg-la-Reine RER,RATP,RATP,,bus,C01319,96 % (52/54)
r6660662,La Navette,La Navette de Fontenay-sous-Bois,RATP,RATP,,bus,C01335,
r6682682,AS,Bus AS : Autobus Suresnois (ligne 544),RATP,RATP,,bus,C01340,95 % (20/21)
r6706981,487,Bus 487 : Athis-Mons - Porte de l'Essonne ↔ Marché de Juvisy,RATP,RATP,#fecd08,bus,C01710,86 % (50/58)
r6741325,31,Bus 31 : Cesson Gare RER ↔ Point de Vue (Lieusaint),Sénart,Transdev Sénart,,bus,C01669,65 % (27/41)
r6741397,32,Bus 32 : Savigny - Nandy Gare RER (circulaire intérieur),Sénart,Transdev Sénart,,bus,C00868,42 % (8/19)
r6741557,33,Bus 33 : Savigny - Nandy Gare RER (circulaire extérieur),Sénart,Transdev Sénart,,bus,C00871,36 % (7/19)
r6744021,34,Bus 34 : Savigny - Nandy Gare RER ↔ Savigny - Nandy Gare RER,Sénart,Transdev Sénart,,bus,C00850,73 % (14/19)
r6744031,37,Bus 37 : Savigny - Nandy Gare RER ↔ Savigny - Nandy Gare RER,Sénart,Transdev Sénart,,bus,C00852,26 % (4/15)
r6744094,36,Bus 36 : Savigny - Nandy Gare RER ↔ Cesson Gare RER,Sénart,Transdev Sénart,,bus,C00851,48 % (13/27)
r6744103,41,Bus 41 : Cesson Gare RER (circulaire),Sénart,Transdev Sénart,,bus,C00853,80 % (8/10)
r6744194,04,Bus 04 : Le Fresne (Saint-Pierre-du-Perray) ↔ Mairie (Morsang-sur-Seine),Sénart,Transdev Sénart,,bus,C00844,37 % (10/27)
r6744247,21,Bus 21 : Les Grès (Moissy-Cramayel) ↔ Porte de Paris (Lieusaint),Sénart,Transdev Sénart,,bus,C00862,28 % (16/57)
r6744258,12,Bus 12 : Combs-la-Ville - Quincy Gare RER (circulaire extérieur),Sénart,Transdev Sénart,,bus,C00846,83 % (15/18)
r6744271,23,Bus 23 : circulaire de Moissy,Sénart,Transdev Sénart,#0A560B,bus,C00867,60 % (14/23)
r6751698,22,Bus 22 : Saint-Michel (Moissy-Cramayel) ↔ Lieusaint - Moissy Gare RER,Sénart,Transdev Sénart,,bus,C00863,78 % (18/23)
r6751736,64,Bus 64 : Couture (Combs-la-Ville) ↔ Lycée J. Prévert (Combs-la-Ville),Sénart,Transdev Sénart,,bus,C00860,83 % (15/18)
r6751789,53,Bus 53 : Combs-la-Ville - Quincy Gare RER ↔ Lieusaint - Moissy Gare RER,Sénart,Transdev Sénart,,bus,C00861,84 % (22/26)
r6751813,11,Bus 11 : Combs-la-Ville - Quincy Gare RER (circulaire),Sénart,Transdev Sénart,,bus,C00845,94 % (18/19)
r6762268,S3,Bus S3 : Lycée Albert Einstein (Sainte-Geneviève-des-Bois) ↔ Gare de Sainte-Geneviève-des-Bois,Cœur d'Essonne,Transdev Cœur Essonne,,bus,C01705,96 % (24/25)
r6785275,2,Bus 2 : Allée de l'Orge ↔ ZI Croix Blanche,Cœur d'Essonne,Transdev Cœur Essonne,,bus,C00087,38 % (18/47)
r6785331,4,Bus 4 : Gare RER ↔ ZI Croix Blanche,Cœur d'Essonne,Transdev Cœur Essonne,,bus,C00089,89 % (26/29)
r6785380,108,Bus 108 : ZI Croix Blanche (Sainte-Geneviève des Bois) ↔ Porte d'Orléans (Paris),Cœur d'Essonne,Transdev Cœur Essonne,#40e600,bus,C01810,98 % (55/56)
r6785512,402,Bus 402 : Terminal David Douillet (Le Coudray-Montceaux) ↔ La Treille (Viry-Châtillon),Évry Centre Essonne,Keolis TISSE,#E6001B,bus,C01617,83 % (71/85)
r6785602,420,Bus 420 : Grigny - Centre RER ↔ Gare RER d'Épinay-sur-Orge,Évry Centre Essonne,Keolis TISSE,#046376,bus,C01956,90 % (40/44)
