line_id,route_id,stop_id,lat,lon
Line:Relation:107352,Route:Relation:1103949,StopPoint:Node:252857711,49.035911,2.4700818
Line:Relation:36997,Route:Relation:1103950,StopPoint:Node:252748072,49.0323972,2.4772404999999997
Line:Relation:36997,Route:Relation:1103951,StopPoint:Node:252750230,49.0327237,2.482159
Line:Relation:107354,Route:Relation:1103964,StopPoint:Node:1612188380,48.9731336,2.4179242
Line:Relation:107354,Route:Relation:1103965,StopPoint:Node:1612188346,48.9733071,2.4176964
Line:Relation:107356,Route:Relation:1104172,StopPoint:Node:1889619591,49.010207699999995,2.5596253
Line:Relation:107356,Route:Relation:1104173,StopPoint:Node:1889619591,49.010207699999995,2.5596253
Line:Relation:3253980,Route:Relation:1104193,StopPoint:Node:1237692997,49.057893799999995,2.2101923
Line:Relation:3253655,Route:Relation:1104194,StopPoint:Node:2267619823,48.987922,2.3788942
Line:Relation:3253657,Route:Relation:1104195,StopPoint:Node:2481703584,49.0025343,2.4709464
Line:Relation:7999069,Route:Relation:1104196,StopPoint:Node:372714306,49.0165016,2.469118
Line:Relation:1104709,Route:Relation:1104689,StopPoint:Node:1336693314,48.9743529,2.2737072
Line:Relation:1104709,Route:Relation:1104708,StopPoint:Node:1402566402,48.8986236,2.3125635
Line:Relation:1578451,Route:Relation:1111432,StopPoint:Node:1153531321,48.7686072,2.4678945
Line:Relation:1578451,Route:Relation:1111461,StopPoint:Node:1153531891,48.768318099999995,2.4686665
Line:Relation:1520619,Route:Relation:1111469,StopPoint:Node:1174439279,48.8146901,2.4620363
Line:Relation:1520619,Route:Relation:1111499,StopPoint:Node:1130849862,48.7991605,2.4719093
Line:Relation:2853923,Route:Relation:1111806,StopPoint:Node:1166496806,48.824980599999996,2.4957674
Line:Relation:1299563,Route:Relation:1111814,StopPoint:Node:1000880293,48.834204,2.5383218999999997
Line:Relation:1520618,Route:Relation:1112237,StopPoint:Node:1130849862,48.7991605,2.4719093
Line:Relation:7097563,Route:Relation:111250,StopPoint:Node:1168526962,49.1285081,2.4219724
Line:Relation:7387039,Route:Relation:111251,StopPoint:Node:372731522,49.0197131,2.4536694999999997
Line:Relation:7921056,Route:Relation:111252,StopPoint:Node:252857718,49.0320695,2.474189
Line:Relation:7097520,Route:Relation:111253,StopPoint:Node:372739907,49.025794399999995,2.4553849
Line:Relation:6883314,Route:Relation:115222,StopPoint:Node:4114476363,48.7429753,2.4354215
Line:Relation:6860704,Route:Relation:118448,StopPoint:Node:1298816060,48.758545899999994,2.3246629999999997
Line:Relation:7194158,Route:Relation:1189561,StopPoint:Node:3208341048,48.402876899999995,2.6859525
Line:Relation:7194158,Route:Relation:1189795,StopPoint:Node:3208341048,48.402876899999995,2.6859525
Line:Relation:949583,Route:Relation:1207846,StopPoint:Node:1656088246,48.9136891,2.3335527
Line:Relation:2261638,Route:Relation:1236060,StopPoint:Node:1297462444,48.620841399999996,2.4272978999999997
