route_id,name,code,destination,network
r1246684,Bus 93 : Suresnes - De Gaulle → Invalides,93,Invalides,RATP
r1250702,Bus 86 : Champ de Mars → Saint-Mandé — Demi-Lune - Parc Zoologique,86,Saint-Mandé — Demi-Lune - Parc Zoologique,RATP
r1250938,Bus 87 : Porte de Reuilly → Invalides,87,Invalides,RATP
r1250939,Bus 87 : Invalides → Porte de Reuilly,87,Porte de Reuilly,RATP
r1250984,Bus 80 : Porte de Versailles → Mairie du 18e - Jules Joffrin,80,Mairie du 18e - Jules Joffrin,RATP
r1250985,Bus 80 : Mairie du 18e - Jules Joffrin → Porte de Versailles,80,Porte de Versailles,RATP
r1251022,Bus 70 : Hôtel de Ville → Porte de Passy,70,Porte de Passy,RATP
r1251023,Bus 70 : Porte de Passy → Hôtel de Ville,70,Hôtel de Ville,RATP
r1252549,Bus 84 : Panthéon → Alsace,84,Levallois-Perret - Alsace,RATP
r1252550,Bus 85 : Châtelet → Saint-Ouen - Les Docks,85,Saint-Ouen - Les Docks,RATP
r1252551,Bus 84 : Alsace → Panthéon,84,Panthéon,RATP
r1252552,Bus 85 : Saint-Ouen - Les Docks → Châtelet,85,Châtelet,RATP
r1252611,Bus 82 : Neuilly-sur-Seine - Hôpital Américain → Luxembourg,82,Luxembourg,RATP
r1252612,Bus 82 : Luxembourg → Neuilly-sur-Seine - Hôpital Américain,82,Neuilly-sur-Seine - Hôpital Américain,RATP
r1252613,Bus 83 : Porte d'Ivry → Invalides,83,Invalides,RATP
r1252614,Bus 83 : Invalides → Porte d'Ivry,83,Porte d'Ivry,RATP
r1253889,Bus 72 : Parc de Saint-Cloud → Gare de Lyon,72,Gare de Lyon,RATP
r1253890,Bus 75 : Panthéon → Porte de Pantin,75,Porte de Pantin,RATP
r1253892,Bus 74 : Clichy-la-Garenne – Berges de Seine → Châtelet,74,Châtelet,RATP
r1253893,Bus 76 : Châtelet → Bagnolet — Louise Michel,76,Louise Michel (Bagnolet),RATP
r1253894,Bus 72 : Gare de Lyon → Parc de Saint-Cloud,72,Parc de Saint-Cloud,RATP
