route_reference,stop_reference,route_short_name,stop_lat,stop_lon,stop_name,name,lat,lon,stop_id,route_id,line_id
C00621,15421,13,48.7697578805573,2.6899144228997334,Gare d'Ozoir-la-Ferrière,Gare d'Ozoir-la-Ferrière,48.769783999999994,2.6898752999999997,StopPoint:node:4864859132,Route:relation:2545213,Line:relation:6116962
C00621,15421,13,48.7697578805573,2.6899144228997334,Gare d'Ozoir-la-Ferrière,Gare d'Ozoir-la-Ferrière,48.769783999999994,2.6898752999999997,StopPoint:node:4864859132,Route:relation:6116961,Line:relation:6116962
C00621,15429,13,48.77634721351261,2.678485371997292,Bois Prieur,Bois Prieur,48.7763267,2.6784486,StopPoint:node:5392630997,Route:relation:2545213,Line:relation:6116962
C00621,15430,13,48.776365530585004,2.6786077312663883,Bois Prieur,Bois Prieur,48.776243799999996,2.6786179,StopPoint:node:5392631673,Route:relation:6116961,Line:relation:6116962
C00621,15453,13,48.800157780998724,2.7043825994521473,Mairie,Pontcarré Mairie,48.800229699999996,2.7043665,StopPoint:node:3226727439,Route:relation:2545213,Line:relation:6116962
C00621,15454,13,48.800643401547575,2.7043662330177485,Mairie,Pontcarré Mairie,48.800645599999996,2.7044143999999997,StopPoint:node:3226727443,Route:relation:6116961,Line:relation:6116962
C00621,15470,13,48.839430167304435,2.669076851641673,Eglise / Collégien,Collégien - Église,48.839442899999995,2.6690576999999998,StopPoint:node:2094233594,Route:relation:2545213,Line:relation:6116962
C00621,15471,13,48.83942155085842,2.6692131511617623,Eglise / Collégien,Collégien - Église,48.8394262,2.6692088999999997,StopPoint:node:2094233593,Route:relation:6116961,Line:relation:6116962
C00621,15529,13,48.839935052981176,2.6599042774663912,Les Marchais,Les Marchais,48.8399418,2.6598924,StopPoint:node:2995657990,Route:relation:6116961,Line:relation:6116962
C00621,15530,13,48.83971925344964,2.6599193101245295,Les Marchais,Les Marchais,48.8397271,2.6598281,StopPoint:node:2995657991,Route:relation:2545213,Line:relation:6116962
C00621,15697,13,48.838911874765415,2.6543522159153237,Gare de Torcy,Torcy RER,48.8393066,2.6542586,StopPoint:node:3900948965,Route:relation:6116961,Line:relation:6116962
C00621,15737,13,48.83576512137093,2.6739092232548636,Lavoir,Collégien - Lavoir,48.8357859,2.6738839999999997,StopPoint:node:2094214108,Route:relation:2545213,Line:relation:6116962
C00621,15738,13,48.835424489389396,2.6743200571624683,Lavoir,Collégien - Lavoir,48.835409899999995,2.6743775,StopPoint:node:2094214105,Route:relation:6116961,Line:relation:6116962
C00621,15743,13,48.829442025780416,2.6769728292821906,Clos des Charmes,Clos des Charmes,48.829443,2.677002,StopPoint:node:5914093629,Route:relation:2545213,Line:relation:6116962
C00621,15743,13,48.829442025780416,2.6769728292821906,Clos des Charmes,Clos des Charmes,48.829443,2.677002,StopPoint:node:5914093629,Route:relation:6116961,Line:relation:6116962
C00621,15747,13,48.8298505457842,2.6717667029952588,Poirier de la Butte,Poirier de la Butte,48.8297953,2.671791,StopPoint:node:5914093628,Route:relation:2545213,Line:relation:6116962
C00621,15747,13,48.8298505457842,2.6717667029952588,Poirier de la Butte,Poirier de la Butte,48.8297953,2.671791,StopPoint:node:5914093628,Route:relation:6116961,Line:relation:6116962
C00621,16190,13,48.795261406819186,2.704571726439515,Fleuriste,Fleuriste,48.7952228,2.7047588,StopPoint:node:3226727441,Route:relation:6116961,Line:relation:6116962
C00621,16190,13,48.795261406819186,2.704571726439515,Fleuriste,Fleuriste,48.7951043,2.7039967,StopPoint:node:3226727444,Route:relation:2545213,Line:relation:6116962
C00621,16191,13,48.79526077780756,2.70477577411701,Fleuriste,Fleuriste,48.7952228,2.7047588,StopPoint:node:3226727441,Route:relation:6116961,Line:relation:6116962
C00621,16191,13,48.79526077780756,2.70477577411701,Fleuriste,Fleuriste,48.7951043,2.7039967,StopPoint:node:3226727444,Route:relation:2545213,Line:relation:6116962
C00621,16423,13,48.77857309594789,2.6801191141221876,Anne Frank,Anne Frank,48.778554199999995,2.6801558,StopPoint:node:5392631019,Route:relation:6116961,Line:relation:6116962
C00621,16424,13,48.77820338136407,2.6797591222914883,Anne Frank,Anne Frank,48.778247099999994,2.6797763,StopPoint:node:5392632050,Route:relation:2545213,Line:relation:6116962
C00621,35865,13,48.84088314762169,2.6676506405739646,Cèdre,Cèdre,48.840878499999995,2.6677481,StopPoint:node:2995657992,Route:relation:2545213,Line:relation:6116962
C00621,35866,13,48.840973004473085,2.6676228178220955,Cèdre,Cèdre,48.840995,2.6677401,StopPoint:node:2995657993,Route:relation:6116961,Line:relation:6116962
C00621,419931,13,48.8281759004682,2.6743789605730157,Moulin,Moulin,48.828184,2.674407,StopPoint:node:5914093627,Route:relation:2545213,Line:relation:6116962
