line_id,code,name,network,operator,colour,osm:type,mode,osm:ref:FR:STIF:ExternalCode_Line
Line:relation:7011211,N02,Noctilien N02 : Circulaire Extérieure,Noctilien,RATP,#ED1C2A,route_master,bus,100987776:N02
Line:relation:7011212,N01,Noctilien N01 : Circulaire Intérieure,Noctilien,RATP,#BB4A9B,route_master,bus,100987775:N01
Line:relation:7011231,V6,Bus V6 : circulaire Leclerc Thomas,Valouette,RATP,#79BB92,route_master,bus,100100593:V6
Line:relation:7011232,v7,Bus v7 : Villejuif-Louis Aragon Métro,Valouette,RATP,#D35E3C,route_master,bus,100100585:V7
Line:relation:7011233,v3,Bus v3 : Service de Cachan,Valouette,RATP,#CDC83F,route_master,bus,100100581:V3
Line:relation:7011253,LISA,CDGVAL Ligne 2 LISA,CDGVAL,Aéroports de Paris,#142B4A,route_master,light_rail,
Line:relation:7011260,D,Bus D : Gare de Brunoy (circulaire),VyBus,Transdev STRAV,#E2BA00,route_master,bus,045045009:D
Line:relation:7011261,U,Bus U : Collège la Guinette (circulaire),Service Urbain de Villecresnes,Transdev STRAV,,route_master,bus,045145026:U
Line:relation:7011271,12,Bus 12 : Lycée Van Gogh (Aubergenville) ↔ Gare (Les Mureaux),Val de Seine,Transdev Île-de-France Ecquevilly,,route_master,bus,011011012:12
Line:relation:7011277,7,Bus 7 : Gare d'Argenteuil ↔ Gare d'Enghien-les-Bains,R'bus,Transdev TVO,,route_master,bus,016616514:7
Line:relation:7011303,8,Bus 8 : Gare de Villeneuve-Saint-Georges ↔ Aéroport d'Orly 1-2-3,Athis Cars,Keolis Seine Val-De-Marne,#00adef,route_master,bus,002002008:8
Line:relation:7011364,21,Bus 21 : Gare du Vésinet - Le Pecq ↔ Bèque SNCF - Gare de Marly-le-Roi,ESF,Transdev Île-de-France Montesson Les Rabaux,,route_master,bus,012012021:21
Line:relation:7011365,10,Bus 10 : Gare de Saint-Germain ↔ Gare de Marly-le-Roi,Entre Seine et Forêt,Transdev Île-de-France Montesson Les Rabaux,,route_master,bus,012012010:10
Line:relation:7011367,Direct 4,Bus Direct 4 : Montparnasse ↔ Aéroport Roissy CDG,Le Bus Direct,Keolis Aerolis,#FF9B00,route_master,bus,098098004:DIRECT4
Line:relation:7011368,Direct 3,Bus Direct 3 : Aéroport Orly ↔ Aéroport Roissy CDG,Le Bus Direct,Keolis Aerolis,,route_master,bus,098098003:DIRECT3
Line:relation:7011369,Direct 2,Bus Direct 2 : Champ de Mars ↔ Aéroport Roissy CDG,Le Bus Direct,Keolis Aerolis,,route_master,bus,098098002:DIRECT2
Line:relation:7011370,Direct 1,Bus Direct 1 : Charles de Gaulle Étoile ↔ Aéroport Orly,Le Bus Direct,Keolis Aerolis,,route_master,bus,098098001:DIRECT1
Line:relation:7073416,DM151,Bus DM151 : Paris-Porte d'Orléans ↔ Arpajon-Porte d'Étampes,Daniel Meyer,Keolis Meyer,#ff8c00,route_master,bus,055155001:DM151
