line_id,ID_Line,code,ShortName_Line,network,NetworkName,operator,OperatorName,mode,TransportMode
r1083428,C01119,87,87,RATP,,RATP,RATP,bus,bus
r1245875,C01120,88,88,RATP,,RATP,RATP,bus,bus
r1083434,C01121,89,89,RATP,,RATP,RATP,bus,bus
r1083436,C01122,91,91,RATP,,RATP,RATP,bus,bus
r1083429,C01123,92,92,RATP,,RATP,RATP,bus,bus
r1083419,C01124,93,93,RATP,,RATP,RATP,bus,bus
r1085979,C01125,94,94,RATP,,RATP,RATP,bus,bus
r1246520,C01126,95,95,RATP,,RATP,RATP,bus,bus
r226276,C01127,96,96,RATP,,RATP,RATP,bus,bus
r2214230,C01130,101,101,RATP,,RATP,RATP,bus,bus
r3047801,C01131,102,102,RATP,,RATP,RATP,bus,bus
r4610190,C01132,103,103,RATP,,RATP,RATP,bus,bus
r3686355,C01133,104,104,RATP,,RATP,RATP,bus,bus
r7444602,C01134,105,105,RATP,,RATP,RATP,bus,bus
r1102964,C01135,106,106,RATP,,RATP,RATP,bus,bus
r1540147,C01136,107,107,RATP,,RATP,RATP,bus,bus
r5953399,C01137,108,108,RATP,,RATP,RATP,bus,bus
r5964015,C01138,109,109,RATP,,RATP,RATP,bus,bus
r1307393,C01139,110,110,RATP,,RATP,RATP,bus,bus
r1520619,C01140,111,111,RATP,,RATP,RATP,bus,bus
r1520618,C01141,112,112,RATP,,RATP,RATP,bus,bus
r2224968,C01142,113,113,RATP,,RATP,RATP,bus,bus
r1555940,C01143,114,114,RATP,,RATP,RATP,bus,bus
r225801,C01144,115,115,RATP,,RATP,RATP,bus,bus
r1580970,C01145,116,116,RATP,,RATP,RATP,bus,bus
r1578451,C01146,117,117,RATP,,RATP,RATP,bus,bus
r1555879,C01147,118,118,RATP,,RATP,RATP,bus,bus
r5865473,C01148,119,119,RATP,,RATP,RATP,bus,bus
r1321223,C01149,120,120,RATP,,RATP,RATP,bus,bus
r2217686,C01150,121,121,RATP,,RATP,RATP,bus,bus
r1621799,C01151,122,122,RATP,,RATP,RATP,bus,bus
r1782907,C01152,123,123,RATP,,RATP,RATP,bus,bus
r1555880,C01153,124,124,RATP,,RATP,RATP,bus,bus
r1973045,C01154,125,125,RATP,,RATP,RATP,bus,bus
r2981756,C01155,126,126,RATP,,RATP,RATP,bus,bus
r1549913,C01156,127,127,RATP,,RATP,RATP,bus,bus
r6954593,C01157,128,128,RATP,,RATP,RATP,bus,bus
r1857145,C01158,129,129,RATP,,RATP,RATP,bus,bus
r3334641,C01159,131,131,RATP,,RATP,RATP,bus,bus
r5852775,C01160,132,132,RATP,,RATP,RATP,bus,bus
r4772628,C01161,133,133,RATP,,RATP,RATP,bus,bus
r949583,C01163,137,137,RATP,,RATP,RATP,bus,bus
r1104709,C01164,138,138,RATP,,RATP,RATP,bus,bus
r954976,C01165,139,139,RATP,,RATP,RATP,bus,bus
r5953338,C01166,140,140,RATP,,RATP,RATP,bus,bus
r5899969,C01167,141,141,RATP,,RATP,RATP,bus,bus
r4779679,C01168,143,143,RATP,,RATP,RATP,bus,bus
r968720,C01169,144,144,RATP,,RATP,RATP,bus,bus
r2213976,C01170,145,145,RATP,,RATP,RATP,bus,bus
r2171714,C01171,146,146,RATP,,RATP,RATP,bus,bus
r332709,C01172,147,147,RATP,,RATP,RATP,bus,bus
r2207006,C01173,148,148,RATP,,RATP,RATP,bus,bus
r3045662,C01174,150,150,RATP,,RATP,RATP,bus,bus
r3318735,C01175,151,151,RATP,,RATP,RATP,bus,bus
r7920985,C01176,152,152,RATP,,RATP,RATP,bus,bus
r3997212,C01177,153,153,RATP,,RATP,RATP,bus,bus
r611648,C01180,157,157,RATP,,RATP,RATP,bus,bus
r3546204,C01181,158,158,RATP,,RATP,RATP,bus,bus
r3695203,C01182,159,159,RATP,,RATP,RATP,bus,bus
r901462,C01183,160,160,RATP,,RATP,RATP,bus,bus
r1991746,C01184,162,162,RATP,,RATP,RATP,bus,bus
r5899903,C01185,163,163,RATP,,RATP,RATP,bus,bus
r2647712,C01186,164,164,RATP,,RATP,RATP,bus,bus
r2647711,C01187,165,165,RATP,,RATP,RATP,bus,bus
r952693,C01188,166,166,RATP,,RATP,RATP,bus,bus
r6010966,C01189,167,167,RATP,,RATP,RATP,bus,bus
r6010927,C01190,169,169,RATP,,RATP,RATP,bus,bus
r225665,C01191,170,170,RATP,,RATP,RATP,bus,bus
r5569622,C01192,171,171,RATP,,RATP,RATP,bus,bus
r5963159,C01193,172,172,RATP,,RATP,RATP,bus,bus
r1553162,C01194,173,173,RATP,,RATP,RATP,bus,bus
r937383,C01195,174,174,RATP,,RATP,RATP,bus,bus
r1574080,C01196,175,175,RATP,,RATP,RATP,bus,bus
r5900554,C01197,176,176,RATP,,RATP,RATP,bus,bus
r949582,C01198,177,177,RATP,,RATP,RATP,bus,bus
r949585,C01199,178,178,RATP,,RATP,RATP,bus,bus
r2654565,C01200,179,179,RATP,,RATP,RATP,bus,bus
r5955532,C01201,180,180,RATP,,RATP,RATP,bus,bus
r1802059,C01202,181,181,RATP,,RATP,RATP,bus,bus
r6049045,C01203,182,182,RATP,,RATP,RATP,bus,bus
r5426450,C01204,183,183,RATP,,RATP,RATP,bus,bus
r1259529,C01205,184,184,RATP,,RATP,RATP,bus,bus
r3008945,C01206,185,185,RATP,,RATP,RATP,bus,bus
r2972968,C01207,186,186,RATP,,RATP,RATP,bus,bus
r1259087,C01208,187,187,RATP,,RATP,RATP,bus,bus
r5256555,C01209,188,188,RATP,,RATP,RATP,bus,bus
r5954679,C01210,189,189,RATP,,RATP,RATP,bus,bus
r2532567,C01211,190,190,RATP,,RATP,RATP,bus,bus
r5757909,C01212,191,191,RATP,,RATP,RATP,bus,bus
r7753791,C01213,192,192,RATP,,RATP,RATP,bus,bus
r4289192,C01214,194,194,RATP,,RATP,RATP,bus,bus
r5954722,C01215,195,195,RATP,,RATP,RATP,bus,bus
r5865410,C01216,196,196,RATP,,RATP,RATP,bus,bus
r7537818,C01217,197,197,RATP,,RATP,RATP,bus,bus
r7423790,C01218,199,199,RATP,,RATP,RATP,bus,bus
r7920982,C01219,201,201,RATP,,RATP,RATP,bus,bus
r3079254,C01220,203,203,RATP,,RATP,RATP,bus,bus
r1308545,C01221,206,206,RATP,,RATP,RATP,bus,bus
r1308546,C01222,207,207,RATP,,RATP,RATP,bus,bus
r6795575,C01223,208a,208A,RATP,,RATP,RATP,bus,bus
r1306437,C01224,210,210,RATP,,RATP,RATP,bus,bus
r15644002,C01225,211,211,RATP,,RATP,RATP,bus,bus
r3906360,C01226,212,212,RATP,,RATP,RATP,bus,bus
r3906369,C01227,213,213,RATP,,RATP,RATP,bus,bus
r3336398,C01228,214,214,RATP,,RATP,RATP,bus,bus
r7474293,C01229,215,215,RATP,,RATP,RATP,bus,bus
r6860557,C01230,216,216,RATP,,RATP,RATP,bus,bus
r5415945,C01231,217,217,RATP,,RATP,RATP,bus,bus
r2675337,C01232,220,220,RATP,,RATP,RATP,bus,bus
r3134153,C01233,221,221,RATP,,RATP,RATP,bus,bus
r7920983,C01234,234,234,RATP,,RATP,RATP,bus,bus
r7920514,C01235,235,235,RATP,,RATP,RATP,bus,bus
r7447705,C01236,237,237,RATP,,RATP,RATP,bus,bus
r6827371,C01237,238,238,RATP,,RATP,RATP,bus,bus
r7921053,C01238,239,239,RATP,,RATP,RATP,bus,bus
r3307569,C01239,241,241,RATP,,RATP,RATP,bus,bus
r1716268,C01240,244,244,RATP,,RATP,RATP,bus,bus
r6608978,C01241,249,249,RATP,,RATP,RATP,bus,bus
r7920986,C01242,250,250,RATP,,RATP,RATP,bus,bus
r2206548,C01243,251,251,RATP,,RATP,RATP,bus,bus
r7920987,C01244,252,252,RATP,,RATP,RATP,bus,bus
r7475032,C01245,253,253,RATP,,RATP,RATP,bus,bus
r5226660,C01246,255,255,RATP,,RATP,RATP,bus,bus
r5426315,C01247,256,256,RATP,,RATP,RATP,bus,bus
r1464810,C01248,258,258,RATP,,RATP,RATP,bus,bus
r949584,C01249,261,261,RATP,,RATP,RATP,bus,bus
r7798582,C01250,262,262,RATP,,RATP,RATP,bus,bus
r7795190,C01251,268,268,RATP,,RATP,RATP,bus,bus
r7920990,C01252,269,269,RATP,,RATP,RATP,bus,bus
r7920989,C01253,270,270,RATP,,RATP,RATP,bus,bus
r1810272,C01254,272,272,RATP,,RATP,RATP,bus,bus
r6929582,C01255,274,274,RATP,,RATP,RATP,bus,bus
r7427861,C01256,275,275,RATP,,RATP,RATP,bus,bus
r7920994,C01257,276,276,RATP,,RATP,RATP,bus,bus
r7920992,C01258,278,278,RATP,,RATP,RATP,bus,bus
r1520530,C01260,281,281,RATP,,RATP,RATP,bus,bus
r6915922,C01261,Orlybus,ORLYBUS,RATP,,RATP,RATP,bus,bus
r557587,C01262,285,285,RATP,,RATP,RATP,bus,bus
r2972887,C01263,286,286,RATP,,RATP,RATP,bus,bus
r1987589,C01264,289,289,RATP,,RATP,RATP,bus,bus
r2532600,C01265,290,290,RATP,,RATP,RATP,bus,bus
r7921038,C01266,291,291,RATP,,RATP,RATP,bus,bus
r7095936,C01267,292,292,RATP,,RATP,RATP,bus,bus
r5954723,C01268,294,294,RATP,,RATP,RATP,bus,bus
r7537834,C01270,297,297,RATP,,RATP,RATP,bus,bus
r7797759,C01271,299,299,RATP,,RATP,RATP,bus,bus
r2206991,C01272,301,301,RATP,,RATP,RATP,bus,bus
r2989343,C01273,302,302,RATP,,RATP,RATP,bus,bus
r2171896,C01274,303,303,RATP,,RATP,RATP,bus,bus
r7921054,C01275,304,304,RATP,,RATP,RATP,bus,bus
r1299563,C01276,306,306,RATP,,RATP,RATP,bus,bus
r1302117,C01277,308,308,RATP,,RATP,RATP,bus,bus
r7479245,C01278,310,310,RATP,,RATP,RATP,bus,bus
r3908505,C01279,312,312,RATP,,RATP,RATP,bus,bus
r2853923,C01280,317,317,RATP,,RATP,RATP,bus,bus
r1555939,C01281,318,318,RATP,,RATP,RATP,bus,bus
r7423789,C01282,319,319,RATP,,RATP,RATP,bus,bus
r7470484,C01283,320,320,RATP,,RATP,RATP,bus,bus
r6355936,C01285,321,321,RATP,,RATP,RATP,bus,bus
r2207036,C01286,322,322,RATP,,RATP,RATP,bus,bus
r1981724,C01287,323,323,RATP,,RATP,RATP,bus,bus
r1555878,C01288,325,325,RATP,,RATP,RATP,bus,bus
r7779421,C01289,330,330,RATP,,RATP,RATP,bus,bus
r7783242,C01292,340,340,RATP,,RATP,RATP,bus,bus
r1553375,C01294,341,341,RATP,,RATP,RATP,bus,bus
r2198226,C01295,346,346,RATP,,RATP,RATP,bus,bus
r7466937,C01298,350,350,RATP,,RATP,RATP,bus,bus
r1866830,C01299,351,351,RATP,,RATP,RATP,bus,bus
r7074022,C01300,RoissyBus,ROISSYBUS,RATP,,RATP,RATP,bus,bus
r7800092,C01302,355,355,RATP,,RATP,RATP,bus,bus
r6006672,C01303,356,356,RATP,,RATP,RATP,bus,bus
r6929704,C01304,360,360,RATP,,RATP,RATP,bus,bus
r6835726,C01305,361,361,RATP,,RATP,RATP,bus,bus
r7800304,C01306,366,366,RATP,,RATP,RATP,bus,bus
r611690,C01307,367,367,RATP,,RATP,RATP,bus,bus
r7920991,C01308,368,368,RATP,,RATP,RATP,bus,bus
r7920988,C01309,370,370,RATP,,RATP,RATP,bus,bus
r7800445,C01310,372,372,RATP,,RATP,RATP,bus,bus
r611689,C01311,378,378,RATP,,RATP,RATP,bus,bus
r7792140,C01313,385,385,RATP,,RATP,RATP,bus,bus
r5954724,C01314,388,388,RATP,,RATP,RATP,bus,bus
r7261212,C01315,389,389,RATP,,RATP,RATP,bus,bus
r5969926,C01316,390,390,RATP,,RATP,RATP,bus,bus
r5312582,C01317,391,391,RATP,,RATP,RATP,bus,bus
r5557347,C01318,393,393,RATP,,RATP,RATP,bus,bus
r6645022,C01319,394,394,RATP,,RATP,RATP,bus,bus
r7800857,C01320,395,395,RATP,,RATP,RATP,bus,bus
r7843394,C01321,396,396,RATP,,RATP,RATP,bus,bus
r7423788,C01322,399,399,RATP,,RATP,RATP,bus,bus
r6594969,C01323,421,421,RATP,,RATP,RATP,bus,bus
r1709309,C01324,467,467,RATP,,RATP,RATP,bus,bus
r7801058,C01326,485,485,RATP,,RATP,RATP,bus,bus
r7920999,C01327,488,488,RATP,,RATP,RATP,bus,bus
r7920979,C01328,492,492,RATP,,RATP,RATP,bus,bus
r7921049,C01329,La Traverse,CHARONNE,RATP,,RATP,RATP,bus,bus
r7921052,C01330,513,BIEVRES,RATP,,RATP,RATP,bus,bus
r7920956,C01331,515,TILLBUS,RATP,,RATP,RATP,bus,bus
r5662181,C01332,La Traverse,BATIGNO,RATP,,RATP,RATP,bus,bus
r7921027,C01333,519,NEY-FLA,RATP,,RATP,RATP,bus,bus
r3048889,C01334,520,520,RATP,,RATP,RATP,bus,bus
r6660662,C01335,La Navette,NAVETTE,RATP,,RATP,RATP,bus,bus
r7921028,C01337,L'Audonienne,AUDONIE,RATP,,RATP,RATP,bus,bus
r7803053,C01338,541,EOLIEN,RATP,,RATP,RATP,bus,bus
r6682682,C01340,AS,AS,RATP,,RATP,RATP,bus,bus
r7803143,C01341,545,545,RATP,,RATP,RATP,bus,bus
r7803998,C01342,546,TUB,RATP,,RATP,RATP,bus,bus
r8130795,C01345,559a,559A,RATP,,RATP,RATP,bus,bus
r7975668,C01347,v4,V4,RATP,,RATP,RATP,bus,bus
r7920954,C01349,564,564,RATP,,RATP,RATP,bus,bus
r7921035,C01350,565,565,RATP,,RATP,RATP,bus,bus
r7799660,C01351,566,566,RATP,,RATP,RATP,bus,bus
r7921040,C01352,TIM,TIM,Grand Paris Seine Ouest,,RATP,RATP,bus,bus
r1758295,C01353,SUBB,SUBB,Grand Paris Seine Ouest,,RATP,RATP,bus,bus
r7804907,C01354,574,TUC,RATP,,RATP,RATP,bus,bus
r7804913,C01356,577,RIVER,RATP,,RATP,RATP,bus,bus
r7011233,C01359,v3,V3,Valouette,,RATP,RATP,bus,bus
r7136184,C01360,Choisybus,CHOISYBUS,RATP,,RATP,RATP,bus,bus
r7573289,C01361,v2,V2,Valouette,,RATP,RATP,bus,bus
r7901303,C01362,v5,V5,Valouette,,RATP,RATP,bus,bus
r7011232,C01363,v7,V7,Valouette,,RATP,RATP,bus,bus
r3389342,C01365,TUVIM,TUVIM,Grand Paris Seine Ouest,,RATP,RATP,bus,bus
r7011231,C01367,v6,V6,Valouette,,RATP,RATP,bus,bus
r7804946,C01369,595,595,RATP,,RATP,RATP,bus,bus
r3328695,C01371,1,1,Métro de Paris,,RATP,RATP,subway,metro
r7227705,C01372,2,2,Métro de Paris,,RATP,RATP,subway,metro
r7733214,C01373,3,3,Métro de Paris,,RATP,RATP,subway,metro
r3326845,C01374,4,4,Métro de Paris,,RATP,RATP,subway,metro
r7420645,C01375,5,5,Métro de Paris,,RATP,RATP,subway,metro
r3328765,C01376,6,6,Métro de Paris,,RATP,RATP,subway,metro
r3328805,C01377,7,7,Métro de Paris,,RATP,RATP,subway,metro
r7420644,C01378,8,8,Métro de Paris,,RATP,RATP,subway,metro
r3328717,C01379,9,9,Métro de Paris,,RATP,RATP,subway,metro
r3328741,C01380,10,10,Métro de Paris,,RATP,RATP,subway,metro
r7420643,C01381,11,11,Métro de Paris,,RATP,RATP,subway,metro
r7420642,C01382,12,12,Métro de Paris,,RATP,RATP,subway,metro
r7420641,C01383,13,13,Métro de Paris,,RATP,RATP,subway,metro
r3328694,C01384,14,14,Métro de Paris,,RATP,RATP,subway,metro
r6928970,C01385,Funiculaire,FUN,RATP,,RATP,RATP,funicular,funicular
r7420646,C01386,3bis,3B,Métro de Paris,,RATP,RATP,subway,metro
r2554103,C01387,7bis,7B,Métro de Paris,,RATP,RATP,subway,metro
r6928902,C01388,Orlyval,ORLYVAL,Métro de Paris,,RATP,RATP,subway,rail
r2572573,C01389,T1,T1,Tramway d'Île de France,,RATP,RATP,tram,tram
r1635139,C01390,T2,T2,Tramway d'Île de France,,RATP,RATP,tram,tram
r6907402,C01391,T3a,T3a,Tramway d'Île de France,,RATP,RATP,tram,tram
r7784991,C01481,426,426,RATP,,RATP,RATP,bus,bus
r7921034,C01485,459,459,RATP,,RATP,RATP,bus,bus
r3567517,C01488,471,471,RATP,,RATP,RATP,bus,bus
r3662457,C01679,T3b,T3b,Tramway d'Île de France,,RATP,RATP,tram,tram
r2644951,C01680,35,35,RATP,,RATP,RATP,bus,bus
r6910410,C01684,T5,T5,Tramway d'Île de France,,RATP,RATP,tram,tram
r7920984,C01695,247,247,RATP,,RATP,RATP,bus,bus
r7634948,C01696,248,248,RATP,,RATP,RATP,bus,bus
r6706981,C01710,487,487,RATP,,RATP,RATP,bus,bus
r7802464,C01756,337,337,RATP,,RATP,RATP,bus,bus
r6910465,C01774,T7,T7,Tramway d'Île de France,,RATP,RATP,tram,tram
r5852751,C01780,La Navette,THIAIS,RATP,,RATP,RATP,bus,bus
r6910437,C01794,T6,T6,Tramway d'Île de France,,RATP,RATP,tram,tram
r4007734,C01795,T8,T8,Tramway d'Île de France,,RATP,RATP,tram,tram
r7781376,C01808,254,254,RATP,,RATP,RATP,bus,bus
r6048347,C01809,380,380,RATP,,RATP,RATP,bus,bus
r6795574,C01818,208b,208B,RATP,,RATP,RATP,bus,bus
r7244792,C01819,208s,208S,RATP,,RATP,RATP,bus,bus
r7095879,C01821,486,486,RATP,,RATP,RATP,bus,bus
r7802906,C01839,538,PORT,RATP,,RATP,RATP,bus,bus
r8728677,C01900,PTITBUS,P'TIT BUS,RATP,,RATP,RATP,bus,bus
r6552159,C02000,259,259,RATP,,RATP,RATP,bus,bus
r7920960,C02007,168,168,RATP,,RATP,RATP,bus,bus
r7920959,C02008,353,353,RATP,,RATP,RATP,bus,bus
r7791161,C02027,260,260,RATP,,RATP,RATP,bus,bus
r8130793,C02080,559b,559B,RATP,,RATP,RATP,bus,bus
r8130794,C02081,559c,559C,RATP,,RATP,RATP,bus,bus
r8130796,C02082,559d,559D,RATP,,RATP,RATP,bus,bus
r1257210,C02205,PC,PC,RATP,,RATP,RATP,bus,bus
r9340396,C02243,25,25,RATP,,RATP,RATP,bus,bus
r9352984,C02244,45,45,RATP,,RATP,RATP,bus,bus
r9353394,C02245,59,59,RATP,,RATP,RATP,bus,bus
r9353405,C02246,71,71,RATP,,RATP,RATP,bus,bus
r9353416,C02251,77,77,RATP,,RATP,RATP,bus,bus
r1942584,C02254,40,40,RATP,,RATP,RATP,bus,bus
,C02268,,BUSM6,,,,RATP,,bus
r6040778,C02288,193,193,RATP,,RATP,RATP,bus,bus
,C02310,,BUSM1,,,,RATP,,bus
r10742267,C02314,263,263,RATP,,RATP,RATP,bus,bus
,C02404,,BUS T1,,,,RATP,,bus
,C02405,,BUS T2,,,,RATP,,bus
,C02406,,BUS T3a,,,,RATP,,bus
,C02407,,BUS T3b,,,,RATP,,bus
,C02408,,BUS T5,,,,RATP,,bus
,C02409,,BUS T6,,,,RATP,,bus
,C02410,,BUS T7,,,,RATP,,bus
,C02411,,BUS T8,,,,RATP,,bus
r12811954,C02437,209,209,RATP,,RATP,RATP,bus,bus
r7975655,C02457,LIGNE-B,LBLEUE,RATP,,RATP,RATP,bus,bus
r13593220,C02459,382,382,RATP,,RATP,RATP,bus,bus
,C02471,,BUSM12,,,,RATP,,bus
,C02475,,BUSM7,,,,RATP,,bus
,C02483,,BUSM10,,,,RATP,,bus
r14576282,C02488,Navette Autonome,NAVAUT1,RATP,,RATP,RATP,bus,bus
,C02492,,BUSM3,,,,RATP,,bus
,C02494,,BUSM14,,,,RATP,,bus
,C02512,,BUSM09,,,,RATP,,bus
,C02514,,BUSM4,,,,RATP,,bus
,C02525,,BUSORLY,,,,RATP,,bus
,C02527,,BUSM2,,,,RATP,,bus
,C02531,,BUSM11,,,,RATP,,bus
,C02532,,BUSM5,,,,RATP,,bus
,C02533,,BUSM8,,,,RATP,,bus
,C02534,,BUSM13,,,,RATP,,bus
r15616801,C02538,311,311,RATP,,RATP,RATP,bus,bus
,C02573,,BUSM03B,,,,RATP,,bus
,C02590,,BUSM07B,,,,RATP,,bus
r7920955,C02301,GPSO,GPSO Bus,Grand Paris Seine Ouest,,Mobicité,SAVAC,bus,bus
r3315942,C00549,BrieBus,BrieBus,BrieBus,,Transdev SETRA,SETRA,bus,bus
,C01859,,TER,,,,SNCF,,bus
,C01864,,TER,,,,SNCF,,bus
,C02369,,TER Bus,,,,SNCF,,bus
,C02373,,TER,,,,SNCF,,bus
,C02376,,TER,,,,SNCF,,bus
,C02636,,TZEN 4,,,,TISSE,,bus
r6156507,C00263,100,100,Mobilien,,Transdev Lys,Transdev Côteaux de la Marne,bus,bus
,C02661,,Soir,,,,Transdev Cœur Essonne,,bus
r7142158,C01423,1,1,Apolo 7,Apolo 7,Société des transports du bassin chellois,STBC,bus,bus
r7318440,C01426,2,2,Apolo 7,Apolo 7,Société des transports du bassin chellois,STBC,bus,bus
r7331862,C01427,5,5,Apolo 7,Apolo 7,Société des transports du bassin chellois,STBC,bus,bus
r7466920,C01717,8,8,Apolo 7,Apolo 7,Société des transports du bassin chellois,STBC,bus,bus
r3081886,C02129,3,3,Apolo 7,Apolo 7,Société des transports du bassin chellois,STBC,bus,bus
r7699451,C02130,3s,3s,Apolo 7,Apolo 7,Société des transports du bassin chellois,STBC,bus,bus
r8285313,C02131,6,6,Apolo 7,Apolo 7,Société des transports du bassin chellois,STBC,bus,bus
r8287385,C02132,9s,9s,Apolo 7,Apolo 7,Société des transports du bassin chellois,STBC,bus,bus
r8297079,C02133,9,9,Apolo 7,Apolo 7,Société des transports du bassin chellois,STBC,bus,bus
r8287382,C02135,7s,7s,Apolo 7,Apolo 7,Société des transports du bassin chellois,STBC,bus,bus
r8285312,C02136,7,7,Apolo 7,Apolo 7,Société des transports du bassin chellois,STBC,bus,bus
r7728377,C02137,4,4,Apolo 7,Apolo 7,Société des transports du bassin chellois,STBC,bus,bus
r8287384,C02138,4s,4s,Apolo 7,Apolo 7,Société des transports du bassin chellois,STBC,bus,bus
r8287383,C02139,8s,8s,Apolo 7,Apolo 7,Société des transports du bassin chellois,STBC,bus,bus
