ID_Line;ExternalCode_Line;Name_Line;ShortName_Line;TransportMode;TransportSubmode;OperatorRef;OperatorName;NetworkRef;NetworkName;ID_GroupOfLines;ShortName_GroupOfLines;Accessibility
C01903;333591004:Ligne4;Ligne 4;Ligne 4;bus;;;;;;A01785;H;0
C00382;024024010:24-10;24-10;24-10;bus;localBus;024;KEOLIS SEINE ESSONNE;1045;Trans'Essonne;A00343;CORBEIL-ESSONNES (LYCEE) - MENNECY (CENTRE COMMERCIAL);0
C00386;024309302:302;302;302;bus;regionalBus;024;KEOLIS SEINE ESSONNE;75;Seine Essonne Bus;A00347;CORBEIL-ESSONNES (GARE SNCF) - MORSANG-SUR-SEINE (MAIRIE);0
C00476;030195020:95-20;95-20;95-20;bus;expressBus;030;CARS LACROIX;115;Valoise;A00413;CERGY (Préfecture) - CORMEILLES-EN-PARISIS;0
C00442;030030009:30-09;30-09 Beauchamp;30-09;bus;localBus;030;CARS LACROIX;59;Parisis;A00384;BEAUCHAMP (gare) - BEAUCHAMP (Gare);0
C00478;030195026:95-26;95-26 Scolaire;95-26;bus;localBus;030;CARS LACROIX;16;Busval d'Oise;A00415;TAVERNY - BEAUCHAMP;0
C00445;030030012:30-12;30-12;30-12;bus;localBus;030;CARS LACROIX;59;Parisis;A00387;CORMEILLES-EN-PARISIS;0
C00249;014077705:705;705;705;bus;;014;CIF;38;Goëlys;A00228;LONGPERRIER (LYCEE CHARLES DE GAULLE) - OISSERY (RUE DE CONDE);0
C00256;014077715:715;715;715;bus;;014;CIF;38;Goëlys;A00235;MARCHEMORET - ST-SOUPPLETS;0
C01138;100100109:109;109;109;bus;;100;RATP;68;RATP;A00993;109;1
C01124;100100093:93;93;93;bus;;100;RATP;68;RATP;A00978;93;1
C00935;067067050:50;50;50;bus;localBus;067;MARNE ET MORIN;61;Pays de l'Ourcq;A00801;LE PLESSIS-PLACY (BEAUVAL) - DOUY-LA-RAMEE (LA RAMEE);0
C00703;056356015:S;S;S;bus;;056;KEOLIS VERSAILLES;65;Phébus;A00608;VAUCRESSON (Gare S.N.C.F.) - LE CHESNAY - VERSAILLES (Gare Rive Droite);1
C01729;800:E;E;E;rail;;800;SNCF;71;RER;A01843;Haussmann Saint-Lazare - Chelles Gournay / Tournan;0
C01843;800:T4;T4;T4;tram;;800;SNCF;98;TRAMWAY;A01761;T4 Aulnay sous Bois - Bondy;1
C01774;100112017:T7;T7;T7;tram;;100;RATP;98;TRAMWAY;A02134;T7;1
C00562;043043001:N1;N1;N1;bus;airportLinkBus;043;ADP;3;ADP;;;0
C01283;100100320:320;320;320;bus;;100;RATP;68;RATP;A01142;320;1
C01375;100110005:5;5;5;metro;;100;RATP;47;METRO;A01538;5;0
C01115;100100083:83;83;83;bus;;100;RATP;68;RATP;A00969;83;1
C01076;100100026:26;26;26;bus;;100;RATP;68;RATP;A00930;26;1
C02050;030030021:30-21Est;30-21Est;30-21Est;bus;localBus;030;CARS LACROIX;59;Parisis;A00392;CORMEILLES-EN-PARISIS (gare) - CORMEILLES-EN-PARISIS (gare);1
C01388;100110200:ORLYVAL;ORLYVAL;ORLYVAL;rail;;100;RATP;54;Navette;A01551;ORLYVAL;1
C00004;002002003:3;3;3;bus;regionalBus;002;KEOLIS SEINE-VAL-DE-MARNE;11;Bord de l'Eau;A00002;CHOISY-LE-ROI (Gare RER) - VILLENEUVE-ST-GEORGES (VSG gare RER);0
C00876;066066021:B;B;B;bus;regionalBus;066;TRANSDEV IDF VAUX LE PENIL;599;MELIBUS;A00757;VAUX-LE-PENIL (MAIRIE) - LE MEE-SUR-SEINE (GARE);0
C00877;066066022:C;C;C;bus;localBus;066;TRANSDEV IDF VAUX LE PENIL;599;MELIBUS;A00758;MELUN (GARE) - VAUX-LE-PENIL (VAUX PLEINS VENTS);1
C00871;065487139:33;33;33;bus;regionalBus;065;TRANSDEV IDF LIEUSAINT;78;Sénart-Bus;A00752;SAVIGNY-LE-TEMPLE - SAVIGNY-LE-TEMPLE;0
C01929;210677011:Ligne1 :BoucledeBlennes;Ligne 1 : Boucle de Blennes;Ligne 1 : Boucle de Blennes;bus;demandAndResponseBus;210;CARS MOREAU;;;A01834;TAD Bocage Gatinais;0
C02241;213213469:469;469;469;bus;;213;TRANSDEV IDF NANTERRE;;;A01327;469;0
C00465;030030039:30-39;30-39 Saint-Brice-sous-Forêt;30-39;bus;localBus;030;CARS LACROIX;43;LACROIX;A00407;ST-BRICE-SOUS-FORET (GARE) - ST-BRICE-SOUS-FORET (ROUGEMENTS/LIBERTE);0
C00454;030030027:30-27;30-27 Scolaire;30-27;bus;localBus;030;CARS LACROIX;43;LACROIX;A00396;VERNEUIL-SUR-SEINE (Ecole Notre Dame) - JOUY-LE-MOUTIER - MENUCOURT;0
C00460;030030033:30-33;30-33 Scolaire;30-33;bus;localBus;030;CARS LACROIX;43;LACROIX;A00402;MONTIGNY-LES-CORMEILLES (Collège C. Claudel) - MONTIGNY-LES-CORMEILLES;0
