,gtfs_stop_id,gtfs_route_id,gtfs_ZDEr_ID_REF_A,gtfs_dest_name,gtfs_stop_name,osm_stop_id,osm_osm:ref:FR:STIF:ExternalCode_Line,osm_osm:ref:FR:STIF,osm_destination,osm_name,distance
26251,StopPoint:59:6741472,100100268:268,41805,SAINT-DENIS - UNIVERSITE,PLACE BERLIOZ,StopPoint:Node:5274004687,100100268:268,41805,Saint-Denis Université,Place Berlioz,142.5118712271197
26279,StopPoint:59:6742278,100100268:268,23824,SAINT-DENIS - UNIVERSITE,L'ESPERANCE,StopPoint:Node:4321149354,100100268:268,23824,Saint-Denis Université,L'Espérance,98.11047977739815
26302,StopPoint:59:6742415,100100268:268,8281,SAINT-DENIS - UNIVERSITE,LES CARREAUX,StopPoint:Node:2613925643,100100268:268,8281,Saint-Denis Université,Les Carreaux,78.3974385768694
26340,StopPoint:59:4023825,100100272:272,7677,EGLISE DE SARTROUVILLE,CONDORCET,StopPoint:Node:1669307291,100100272:272,7677,Sartrouville RER,Condorcet,95.96121662971792
26341,StopPoint:59:4023825,100100272:272,7677,GARE DE SARTROUVILLE-RER,CONDORCET,StopPoint:Node:1669307291,100100272:272,7677,Sartrouville RER,Condorcet,95.96121662971792
26375,StopPoint:59:3754207,100100283:ORLYBUS,413252,DENFERT-ROCHEREAU-METRO-RER,ORLY OUEST,StopPoint:Node:4312006189,100100283:ORLYBUS,413252,Paris - Denfert-Rochereau,Aéroport d'Orly - Orly Ouest,77.19345067358849
26400,StopPoint:59:7153132,100100285:285,37469,PORTE DE L'ESSONNE,MARCHE DES GRAVILLIERS,StopPoint:Node:5979568500,100100285:285,37469,Athis-Mons Porte de l'Essone T7,Marché des Gravilliers,73.39857520501569
26406,StopPoint:59:7266033,100100285:285,29863,PORTE DE L'ESSONNE..,PORTE DE L'ESSONNE..,StopPoint:Node:5979568493,100100285:285,29863,Athis-Mons Porte de l'Essone T7,Porte de l'Essonne,150.45225713995913
26480,StopPoint:59:5121005,100100291:291,42008,LA CHEMINEE,VELIZY 2,StopPoint:Node:2388405501,100100291:291,42008,La Cheminée,Vélizy 2,70.36107089057789
26481,StopPoint:59:5121006,100100291:291,42004,LA CHEMINEE,DEWOITINE,StopPoint:Node:5347077055,100100291:291,42004,La Cheminée,Dewoitine,77.32771399283646
26498,StopPoint:59:3909010,100100294:294,23156,PIERRE SEMARD - CHATILLON-MONTROUGE,BOULEVARD DE LA REPUBLIQUE,StopPoint:Node:5339594321,100100294:294,23156,Châtillon - Montrouge,Boulevard de la République,71.49050230482804
26512,StopPoint:59:5121977,100100294:294,37051,IGNY RER,BOULEVARD DE LA REPUBLIQUE,StopPoint:Node:3524346327,100100294:294,37051,Igny RER,Boulevard de la République,93.2664716248945
26548,StopPoint:59:3764007,100100297:297,8207,ANTONY RER,PONT D'ANTONY,StopPoint:Node:1606161294,100100297:297,8207,Antony RER,Pont d'Antony,95.29337757396758
26632,StopPoint:59:4614407,100100306:306,39685,NOISY-LE-GRAND - MONT D'EST RER,CIMETIERE DE SAINT-MAUR-DES-FOSSES,StopPoint:Node:1549965824,100100306:306,39685,Noisy-le-Grand RER,Cimetière,79.22430055776641
26727,StopPoint:59:5922209,100100318:318,37057,CHATEAU DE VINCENNES,GAMBETTA - RENE ALAZARD,StopPoint:Node:2841476332,100100318:318,37057,Château de Vincennes,Gambetta – René Alazard,109.33430104212256
26883,StopPoint:59:7312092,100100323:323,24364,GAMBETTA,MALLERET-JOINVILLE,StopPoint:Node:3648043104,100100323:323,24364,Gambetta,Malleret–Joinville,329.2975748454796
26885,StopPoint:59:7312093,100100323:323,24367,CHATILLON - MONTROUGE-METRO,MALLERET-JOINVILLE,StopPoint:Node:2563183469,100100323:323,24367,Chatillon - Montrouge-Métro,Malleret–Joinville,304.0115308962513
