stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
StopPoint:59:3972569,"CROIX BLANCHE","",48.946277,2.38635,3,,0,StopArea:59:3972568,1
StopPoint:59:6673081,"CITE FLOREAL","",48.941585,2.387315,4,,0,StopArea:59:4000558,1
StopPoint:59:3740975,"PORTE DE LA CHAPELLE","",48.89816,2.358961,2,,0,StopArea:59513,1
StopPoint:59:5605600,"FORT D'AUBERVILLIERS-METRO","",48.914077,2.404441,3,,0,StopArea:59316,
StopPoint:59:5944530,"MAISON DE QUARTIER - COURTILLIERES","",48.913644,2.407249,3,,0,StopArea:59:5605603,1
StopPoint:59:5944531,"DIVISION LECLERC - STENDHAL","",48.911421,2.412237,3,,0,StopArea:59:5605605,1
StopPoint:59:5944532,"CITE DU PONT DE PIERRE","",48.910232,2.416107,3,,0,StopArea:59:5944532,1
StopPoint:59:5944533,"LES COURTILLIERES","",48.913377,2.41693,3,,0,StopArea:59:5944533,1
StopPoint:59:5605610,"IUT PARIS 13","",48.914572,2.417259,3,,0,StopArea:59:5605610,
StopPoint:59:5605612,"CITE DE LA RESISTANCE","",48.919055,2.419611,3,,0,StopArea:59080,
StopPoint:59:5605614,"PLACE DE L'AMITIE","",48.921624,2.421293,3,,0,StopArea:59:5605614,
StopPoint:59:5605616,"CITE DE LA RESISTANCE.","",48.918283,2.418465,3,,0,StopArea:59080,
StopPoint:59:7442375,"HOPITAL AVICENNE","",48.915726,2.42551,3,,0,StopArea:59:7442375,
StopPoint:59:5605619,"CARREFOUR REPIQUET","",48.915335,2.431087,3,,0,StopArea:59078,
StopPoint:59:5605620,"DIDEROT-BIZE","",48.917511,2.429713,3,,0,StopArea:59:5605620,
StopPoint:59:5605621,"GUTENBERG - DIDEROT","",48.920244,2.428927,3,,0,StopArea:59:5605621,
StopPoint:59:5605622,"GUTENBERG - GUYNEMER","",48.92151,2.429652,3,,0,StopArea:59:5605622,
StopPoint:59:5605623,"GUTENBERG - DANTON","",48.923109,2.431183,3,,0,StopArea:59:5605623,
StopPoint:59:5605624,"GUTENBERG - FERRY","",48.924626,2.43289,3,,0,StopArea:59:5605624,
StopPoint:59:5605625,"CITE PIERRE SEMARD","",48.925235,2.435919,3,,0,StopArea:59:5605625,1
StopPoint:59:5605626,"CENTRE CULTUREL","",48.926149,2.438512,3,,0,StopArea:59:5605626,
StopPoint:59:7176383,"JEAN-PIERRE TIMBAUD","",48.924825,2.441714,3,,0,StopArea:59:5794609,1
StopPoint:59:7176385,"MAIRIE DE DRANCY","",48.92306,2.446375,3,,0,StopArea:59:4035826,1
StopPoint:59:5605632,"PLACE DU 19 MARS 1962","",48.919954,2.451809,3,,0,StopArea:59:4889504,
StopPoint:59:5605634,"AUGUSTE BLANQUI","",48.921443,2.455018,3,,0,StopArea:59:3731662,
StopPoint:59:5605636,"BARBUSSE - CROIZAT","",48.922707,2.457639,3,,0,StopArea:59:5605636,
StopPoint:59:5605638,"LYCEE EUGENE DELACROIX","",48.923902,2.458378,3,,0,StopArea:59:5605638,1
StopPoint:59:5605639,"STADE CHARLES SAGE","",48.925816,2.458833,3,,0,StopArea:59:5605639,1
StopPoint:59:4274306,"PLACE JOFFRE","",48.930753,2.455707,3,,0,StopArea:59:4274305,1
StopPoint:59:4035764,"DRANCY RER","",48.93317,2.455604,3,,0,StopArea:8727140,1
StopPoint:59:4035763,"DRANCY RER","",48.933063,2.455399,3,,0,StopArea:8727140,1
StopPoint:59:4274305,"PLACE JOFFRE","",48.930743,2.456103,3,,0,StopArea:59:4274305,1
StopPoint:59:5605640,"STADE CHARLES SAGE","",48.926362,2.460293,3,,0,StopArea:59:5605639,
StopPoint:59:5605645,"DANIEL FERY","",48.923461,2.459332,3,,0,StopArea:59:4889509,
StopPoint:59:5605637,"BARBUSSE - CROIZAT","",48.922654,2.456793,3,,0,StopArea:59:5605636,
StopPoint:59:5605635,"AUGUSTE BLANQUI","",48.921147,2.453885,3,,0,StopArea:59:3731662,
StopPoint:59:5605633,"PLACE DU 19 MARS 1962","",48.920072,2.451046,3,,0,StopArea:59:4889504,1
StopPoint:59:7176386,"MAIRIE DE DRANCY","",48.92305,2.446811,3,,0,StopArea:59:4035826,1
StopPoint:59:7176384,"JEAN-PIERRE TIMBAUD","",48.925491,2.44102,3,,0,StopArea:59:5794609,1
StopPoint:59:5605627,"CENTRE CULTUREL","",48.9265,2.438731,3,,0,StopArea:59:5605626,
StopPoint:59:5605646,"FAIDHERBE - FERRY","",48.924507,2.436013,3,,0,StopArea:59:5605646,
StopPoint:59:5605647,"FAIDHERBE - DANTON","",48.921445,2.432789,3,,0,StopArea:59:5605647,
StopPoint:59:5605648,"FAIDHERBE - BIZE","",48.917393,2.430927,3,,0,StopArea:59:5605648,
StopPoint:59:5605649,"HOPITAL AVICENNE","",48.915896,2.425674,3,,0,StopArea:59014,
StopPoint:59:5605617,"CITE DE LA RESISTANCE.","",48.918983,2.419529,3,,0,StopArea:59080,
StopPoint:59:5605613,"CITE DE LA RESISTANCE","",48.918355,2.418533,3,,0,StopArea:59080,
StopPoint:59:5605611,"IUT PARIS 13","",48.914509,2.417041,3,,0,StopArea:59:5605610,
StopPoint:59:6869719,"LES COURTILLIERES","",48.913287,2.416848,3,,0,StopArea:59:5944533,1
StopPoint:59:6869720,"CITE DU PONT DE PIERRE","",48.910547,2.416148,3,,0,StopArea:59:5944532,1
StopPoint:59:5605605,"DIVISION LECLERC - STENDHAL","",48.911547,2.412414,3,,0,StopArea:59:5605605,
StopPoint:59:5605603,"MAISON DE QUARTIER - COURTILLIERES","",48.913814,2.407509,3,,0,StopArea:59:5605603,
StopPoint:59:5605601,"FORT D'AUBERVILLIERS-METRO","",48.913978,2.404277,3,,0,StopArea:59316,
StopPoint:59:4274273,"GARONOR","",48.956643,2.465442,4,,0,StopArea:59:3666786,1
StopPoint:59:3666747,"GARONOR-PORTE SUD","",48.95645,2.460924,4,,0,StopArea:59:3666746,1
