,gtfs_stop_id,gtfs_route_id,gtfs_ZDEr_ID_REF_A,gtfs_stop_name,gtfs_stop_lat,gtfs_stop_lon,gtfs_wheelchair_boarding,gtfs_dest_name,gtfs_route_short_name,gtfs_agency_name,osm_network,osm_osm:ref:FR:STIF:ExternalCode_Line,osm_name,osm_code,osm_lat,osm_route_id,osm_line_id,osm_osm:ref:FR:STIF:stop_id,osm_stop_id,osm_osm:ref:FR:STIF,osm_lon,osm_destination,destination_confidence,line_code_confidence,line_code_confidence_rounded,name_confidence,name_confidence_rounded,name_confidence_lower,name_confidence_lower_rounded,distance
5731,StopPoint:62:30141,020149004:4,12083,Belvédère,48.766137,2.261037,,La Croix de Berny RER,4,Paladin,Paladin,020149004:4,Belvédère,4,48.7662913,Route:Relation:8404002,Line:Relation:8404004,StopPoint:62:30141,StopPoint:Node:5712921223,12083,2.2620803,La Croix de Berny RER,1.0,1.0,100.0,1.0,100.0,1.0,100.0,78.59279162983262
5869,StopPoint:3:1033,024309301:301,422613,Stade,48.606341,2.483161,,Exona,301,Seine Essonne Bus,Seine Essonne Bus,024309301:301,Stade,301,48.607169,Route:Relation:8299932,Line:Relation:8299933,StopPoint:3:1033,StopPoint:Node:5619166749,422613,2.4836785,Exona,1.0,1.0,100.0,1.0,100.0,1.0,100.0,99.6711139581624
5912,StopPoint:3:1066,024309301:301,422614,Stade,48.607213,2.483678,,Terminal David Douillet,301,Seine Essonne Bus,Seine Essonne Bus,024309301:301,Stade,301,48.606346599999995,Route:Relation:8299931,Line:Relation:8299933,StopPoint:3:1066,StopPoint:Node:5619202718,422614,2.4830129999999997,Terminal David Douillet,1.0,1.0,100.0,1.0,100.0,1.0,100.0,108.1086970459906
5913,StopPoint:3:1067,024309301:301,422593,Maison de retraite,48.60299,2.481904,,Terminal David Douillet,301,Seine Essonne Bus,Seine Essonne Bus,024309301:301,Maison de Retraite,301,48.6041618,Route:Relation:8299931,Line:Relation:8299933,StopPoint:3:1067,StopPoint:Node:5619166721,422593,2.4820461,Terminal David Douillet,1.0,1.0,100.0,0.9444444444444444,90.0,1.0,100.0,130.7273109796712
5968,StopPoint:3:1122,024309303:303,422695,Papeterie,48.594313,2.468518,,Gare Moulin Galant,303,Seine Essonne Bus,Seine Essonne Bus,024309303:303,Papeterie,303,48.595672199999996,Route:Relation:8310966,Line:Relation:8310967,StopPoint:3:1122,StopPoint:Node:5628562410,422695,2.4673678,Gare Moulin Galant,1.0,1.0,100.0,1.0,100.0,1.0,100.0,173.32984937938156
5969,StopPoint:3:1123,024309303:303,422687,Rue des Caillettes,48.593035,2.46964,,Gare Moulin Galant,303,Seine Essonne Bus,Seine Essonne Bus,024309303:303,Rue des Caillettes,303,48.5920741,Route:Relation:8310966,Line:Relation:8310967,StopPoint:3:1123,StopPoint:Node:2073422864,422687,2.4702359,Gare Moulin Galant,1.0,1.0,100.0,1.0,100.0,1.0,100.0,115.54227278789527
6081,StopPoint:84:128,025195008:95-08,29617,Eglise,49.1158,2.01811,,Préfecture / RER,95-08,Busval d'Oise,Busval d'Oise,025195008:95-08,Les Grands Prés,95-08,49.1165795,Route:Relation:6960489,Line:Relation:6970689,StopPoint:84:128,StopPoint:Node:4557788581,29617,2.0171369,Préfecture / RER,1.0,1.0,100.0,0.09523809523809523,10.0,0.19047619047619047,20.0,112.0779490190413
6083,StopPoint:84:13,025195008:95-08,29518,Collège Les Hautiers,49.147992,1.984819,,Préfecture / RER,95-08,Busval d'Oise,Busval d'Oise,025195008:95-08,Collège Les Hautiers,95-08,49.1489152,Route:Relation:6960489,Line:Relation:6970689,StopPoint:84:13,StopPoint:Node:4324090065,29518,1.98525,Préfecture / RER,1.0,1.0,100.0,1.0,100.0,1.0,100.0,107.37834556249857
6088,StopPoint:84:13,025195008:95-08,29518,Collège Les Hautiers,49.147992,1.984819,,Centre Ville,95-08,Busval d'Oise,Busval d'Oise,025195008:95-08,Collège Les Hautiers,95-08,49.1489152,Route:Relation:8093407,Line:Relation:6970689,StopPoint:84:13,StopPoint:Node:4324090065,29518,1.98525,Centre Ville,1.0,1.0,100.0,1.0,100.0,1.0,100.0,107.37834556249857
6175,StopPoint:84:128,025195034:95-34,29617,Eglise,49.1158,2.01811,,Collège Les Hautiers,95-34,Busval d'Oise,Busval d'Oise,025195034:95-34,Les Grands Prés,95-34,49.1165795,Route:Relation:7141388,Line:Relation:7141723,StopPoint:84:128,StopPoint:Node:4557788581,29617,2.0171369,Collège les Hautiers,1.0,1.0,100.0,0.09523809523809523,10.0,0.19047619047619047,20.0,112.0779490190413
